"type","key","value","id","date","clockIn","clockOut","duration","notes"
"meta","baseHourlyRate","29.46","","","","","",""
"meta","overtimeMultiplier","1.5","","","","","",""
"meta","penaltyOvertimeMultiplier","2","","","","","",""
"meta","nightDifferentialRate","1.32","","","","","",""
"meta","sundayPremiumPercent","25","","","","","",""
"meta","dailyOvertimeThresholdHours","8","","","","","",""
"meta","dailyPenaltyOTThresholdHours","10","","","","","",""
"meta","weeklyOvertimeThresholdHours","40","","","","","",""
"meta","weeklyPenaltyOTThresholdHours","56","","","","","",""
"meta","nightDiffStartTime","18:00","","","","","",""
"meta","nightDiffEndTime","06:00","","","","","",""
"entry","","","e2dc804e-0217-46f6-ab04-19b555760bce","Mar 1, 2023","2023-03-01T11:00:00.000Z","2023-03-01T18:35:00.000Z","07:35:00",""
"entry","","","bb56372f-9b0a-455e-8970-a8303b3bedf9","Mar 2, 2023","2023-03-02T12:30:00.000Z","2023-03-02T20:00:00.000Z","07:30:00",""
"entry","","","c7db2de7-b7db-4350-bfb6-ca123d89961f","Mar 3, 2023","2023-03-03T11:00:00.000Z","2023-03-03T19:45:00.000Z","08:45:00",""
"entry","","","6a622eb4-22e4-46f8-97f2-f82d88aca3f6","Mar 4, 2023","2023-03-04T12:00:00.000Z","2023-03-04T20:20:00.000Z","08:20:00",""
"entry","","","9febba3d-5706-460c-956c-08ba2c62bf30","Mar 6, 2023","2023-03-06T12:00:00.000Z","2023-03-06T19:35:00.000Z","07:35:00",""
"entry","","","ef7ac89f-589a-40ef-b56a-5694de578f4d","Mar 7, 2023","2023-03-07T12:30:00.000Z","2023-03-07T20:05:00.000Z","07:35:00",""
"entry","","","4b89ee25-d84b-498d-90e7-30b6646e761e","Mar 8, 2023","2023-03-08T12:30:00.000Z","2023-03-08T20:40:00.000Z","08:10:00",""
"entry","","","e8f83208-a10e-42c1-8b09-f99ca4b3a96d","Mar 9, 2023","2023-03-09T11:00:00.000Z","2023-03-09T20:00:00.000Z","09:00:00",""
"entry","","","4015db0d-9efc-43be-9001-c48521812db1","Mar 10, 2023","2023-03-10T12:15:00.000Z","2023-03-10T20:00:00.000Z","07:45:00",""
"entry","","","e2933c6e-36fa-41da-ab98-5669faa5eca2","Mar 11, 2023","2023-03-11T12:30:00.000Z","2023-03-11T20:25:00.000Z","07:55:00",""
"entry","","","1522b102-ecbb-4233-98e5-dd22132862dc","Mar 13, 2023","2023-03-13T12:30:00.000Z","2023-03-13T20:10:00.000Z","07:40:00",""
"entry","","","9e1b2d5b-f97e-4203-8e4b-a330fc115b33","Mar 14, 2023","2023-03-14T11:00:00.000Z","2023-03-14T19:35:00.000Z","08:35:00",""
"entry","","","e4e62ce4-2d31-475f-8737-e0cc9976b1ab","Mar 15, 2023","2023-03-15T12:30:00.000Z","2023-03-15T20:30:00.000Z","08:00:00",""
"entry","","","7ed77106-09b7-427d-8a51-10e7991eee14","Mar 16, 2023","2023-03-16T12:00:00.000Z","2023-03-16T20:05:00.000Z","08:05:00",""
"entry","","","5328b1ab-b73f-4b93-a690-18f7317189ec","Mar 17, 2023","2023-03-17T12:30:00.000Z","2023-03-17T20:10:00.000Z","07:40:00",""
"entry","","","1ec0d3df-7875-4033-a690-fd6636103c71","Mar 18, 2023","2023-03-18T12:00:00.000Z","2023-03-18T20:20:00.000Z","08:20:00",""
"entry","","","92a19226-3e94-4e0c-a529-cad7474b36cb","Mar 20, 2023","2023-03-20T12:30:00.000Z","2023-03-20T22:45:00.000Z","10:15:00",""
"entry","","","0d23bc62-0df5-40b4-91e9-6047cd81d7dc","Mar 21, 2023","2023-03-21T11:30:00.000Z","2023-03-21T19:40:00.000Z","08:10:00",""
"entry","","","f415cee0-a489-42b3-8009-bbb5aab4fcb4","Mar 22, 2023","2023-03-22T12:00:00.000Z","2023-03-22T19:50:00.000Z","07:50:00",""
"entry","","","2c8d35ce-d2db-417c-8499-201f98c7e3af","Mar 23, 2023","2023-03-23T12:30:00.000Z","2023-03-23T21:10:00.000Z","08:40:00",""
"entry","","","0d15ff83-56a1-4b27-9df5-853715a3a7d6","Mar 24, 2023","2023-03-24T13:30:00.000Z","2023-03-24T21:05:00.000Z","07:35:00",""
"entry","","","f8173d40-4697-47e3-9939-1e978c364019","Mar 25, 2023","2023-03-25T12:30:00.000Z","2023-03-25T21:55:00.000Z","09:25:00",""
"entry","","","d443fa6f-3dd1-40f7-aab0-eec0ac350889","Mar 27, 2023","2023-03-27T13:00:00.000Z","2023-03-27T20:40:00.000Z","07:40:00",""
"entry","","","db352f23-5d93-4fbe-8e99-743f1ca8f29d","Mar 28, 2023","2023-03-28T12:00:00.000Z","2023-03-28T22:15:00.000Z","10:15:00",""
"entry","","","a9567926-8a9c-4265-9a20-c78d9931ac5b","Mar 29, 2023","2023-03-29T13:00:00.000Z","2023-03-29T21:10:00.000Z","08:10:00",""
"entry","","","04e4fec4-1c5d-4eb3-9736-883ee9814e8a","Mar 30, 2023","2023-03-30T12:30:00.000Z","2023-03-30T20:30:00.000Z","08:00:00",""
"entry","","","cac0bb83-d21f-4518-b74d-db8c44507f5b","Mar 31, 2023","2023-03-31T12:30:00.000Z","2023-03-31T20:10:00.000Z","07:40:00",""
"entry","","","ca4c02de-c57b-43c6-b95c-0b7483027f8a","Apr 3, 2023","2023-04-03T11:30:00.000Z","2023-04-03T19:10:00.000Z","07:40:00",""
"entry","","","8f0047aa-301c-4c2b-a73f-d9cb5bde428d","Apr 4, 2023","2023-04-04T11:00:00.000Z","2023-04-04T18:50:00.000Z","07:50:00",""
"entry","","","60148615-a25c-4ee1-87f5-e9096c9c1941","Apr 5, 2023","2023-04-05T13:30:00.000Z","2023-04-05T21:35:00.000Z","08:05:00",""
"entry","","","270558cf-f3da-42e0-a58d-aa2429f4b4dc","Apr 6, 2023","2023-04-06T12:15:00.000Z","2023-04-06T20:05:00.000Z","07:50:00",""
"entry","","","fae7f718-d615-485f-ad7b-9444ee9e6fc7","Apr 7, 2023","2023-04-07T12:30:00.000Z","2023-04-07T20:20:00.000Z","07:50:00",""
"entry","","","baf02e41-19bb-4925-a9b6-5a1dbde88bec","Apr 8, 2023","2023-04-08T12:00:00.000Z","2023-04-08T19:35:00.000Z","07:35:00",""
"entry","","","3875382f-4a1d-4ba7-923d-fbb1cfd7e192","Apr 10, 2023","2023-04-10T11:30:00.000Z","2023-04-10T19:30:00.000Z","08:00:00",""
"entry","","","533a2b38-36f5-45c6-a8b3-440065f8d2f4","Apr 12, 2023","2023-04-12T12:00:00.000Z","2023-04-12T19:50:00.000Z","07:50:00",""
"entry","","","3647caa9-23f2-496d-9d66-3bdfb1ee771d","Apr 13, 2023","2023-04-13T11:15:00.000Z","2023-04-13T19:05:00.000Z","07:50:00",""
"entry","","","eaacefdd-2d8d-47e0-908d-e7a786a85e7d","Apr 14, 2023","2023-04-14T12:30:00.000Z","2023-04-14T22:15:00.000Z","09:45:00",""
"entry","","","6d0f2f01-b04a-49fd-a583-71245704a88f","Apr 15, 2023","2023-04-15T12:00:00.000Z","2023-04-15T19:35:00.000Z","07:35:00",""
"entry","","","e5c95fc0-7faa-4650-ae51-82f5121f8b3a","Apr 16, 2023","2023-04-16T12:00:00.000Z","2023-04-16T19:10:00.000Z","07:10:00",""
"entry","","","9de91002-9aa0-4c10-b9bb-eb70480a6cd3","Apr 17, 2023","2023-04-17T12:30:00.000Z","2023-04-17T20:40:00.000Z","08:10:00",""
"entry","","","0dfffd22-2c32-476f-b774-7f6922f8eb50","Apr 18, 2023","2023-04-18T12:30:00.000Z","2023-04-18T20:30:00.000Z","08:00:00",""
"entry","","","1d10b23e-a85a-4e5f-bd58-d7793a4f5d9b","Apr 19, 2023","2023-04-19T12:00:00.000Z","2023-04-19T20:00:00.000Z","08:00:00",""
"entry","","","e13f45f8-9f15-40e7-bae8-e5f19c6a602f","Apr 20, 2023","2023-04-20T12:00:00.000Z","2023-04-20T20:10:00.000Z","08:10:00",""
"entry","","","2cbf1205-cf8e-439f-b86d-607d958f3c8f","Apr 22, 2023","2023-04-22T12:00:00.000Z","2023-04-22T19:40:00.000Z","07:40:00",""
"entry","","","de365987-587f-4f5b-b6cc-2594713a0ff9","Apr 24, 2023","2023-04-24T13:00:00.000Z","2023-04-24T20:50:00.000Z","07:50:00",""
"entry","","","b6e183fe-97ce-4119-8438-fdeb7eac57da","Apr 25, 2023","2023-04-25T13:30:00.000Z","2023-04-25T21:30:00.000Z","08:00:00",""
"entry","","","6667ad29-2463-43af-a7aa-c44bc0fed7b7","Apr 26, 2023","2023-04-26T12:00:00.000Z","2023-04-26T20:10:00.000Z","08:10:00",""
"entry","","","6574952a-c679-475d-b896-f7ede2a65536","Apr 27, 2023","2023-04-27T12:00:00.000Z","2023-04-27T20:25:00.000Z","08:25:00",""
"entry","","","ab0f2848-d0ab-4589-8249-a147e953ff11","Apr 28, 2023","2023-04-28T12:00:00.000Z","2023-04-28T19:50:00.000Z","07:50:00",""
"entry","","","cc119c6f-9f4f-4909-9543-2953e1ceee63","May 1, 2023","2023-05-01T12:30:00.000Z","2023-05-01T20:30:00.000Z","08:00:00",""
"entry","","","86f7b21b-1224-40b2-b5e0-f5d3a02f83f3","May 2, 2023","2023-05-02T13:30:00.000Z","2023-05-02T22:55:00.000Z","09:25:00",""
"entry","","","0b4cc56c-0f9f-4484-a45e-763d8227d09a","May 3, 2023","2023-05-03T12:00:00.000Z","2023-05-03T19:45:00.000Z","07:45:00",""
"entry","","","018fbc29-5a51-478f-999d-94a02aa72a55","May 4, 2023","2023-05-04T11:00:00.000Z","2023-05-04T18:40:00.000Z","07:40:00",""
"entry","","","c79b9336-990f-4ebd-a55a-7d97e8456cc4","May 5, 2023","2023-05-05T13:15:00.000Z","2023-05-05T23:35:00.000Z","10:20:00",""
"entry","","","01ce4915-c41b-4f7a-abd9-8e5bae9a21b7","May 6, 2023","2023-05-06T12:00:00.000Z","2023-05-06T21:00:00.000Z","09:00:00",""
"entry","","","c30f9f5e-d8f7-42e8-b73c-143cd3227a96","May 8, 2023","2023-05-08T12:30:00.000Z","2023-05-08T20:55:00.000Z","08:25:00",""
"entry","","","79332129-5658-45c0-8a99-702bc40ef6a1","May 9, 2023","2023-05-09T13:15:00.000Z","2023-05-09T21:20:00.000Z","08:05:00",""
"entry","","","4dc88812-0098-44e6-957b-ae857f2aec06","May 10, 2023","2023-05-10T12:00:00.000Z","2023-05-10T20:00:00.000Z","08:00:00",""
"entry","","","2cbc14e2-d4bb-40ae-9984-71e016e186b5","May 11, 2023","2023-05-11T11:00:00.000Z","2023-05-11T18:55:00.000Z","07:55:00",""
"entry","","","cb2221d5-6241-428a-9cfb-70d7468865a2","May 12, 2023","2023-05-12T12:00:00.000Z","2023-05-12T20:15:00.000Z","08:15:00",""
"entry","","","1403f423-77a0-4f0c-bd7d-4314c99a3276","May 13, 2023","2023-05-13T12:00:00.000Z","2023-05-13T19:45:00.000Z","07:45:00",""
"entry","","","5542b3b9-b6fc-4242-8815-02760f762dce","May 15, 2023","2023-05-15T12:30:00.000Z","2023-05-15T20:00:00.000Z","07:30:00",""
"entry","","","99a30580-d3ea-444c-bbcb-2cf71c4c5d79","May 16, 2023","2023-05-16T12:30:00.000Z","2023-05-16T21:20:00.000Z","08:50:00",""
"entry","","","102140dc-150a-4c76-a6fb-6ff56d838f13","May 17, 2023","2023-05-17T11:30:00.000Z","2023-05-17T21:00:00.000Z","09:30:00",""
"entry","","","7bb367ab-6c0f-4c6e-ba50-adcfe1d28684","May 18, 2023","2023-05-18T13:30:00.000Z","2023-05-18T21:20:00.000Z","07:50:00",""
"entry","","","5dbd03e2-ca39-4018-879f-20c889e10dd3","May 19, 2023","2023-05-19T12:15:00.000Z","2023-05-19T20:00:00.000Z","07:45:00",""
"entry","","","72adf413-c9be-4044-9e83-abf50d3cbac6","May 20, 2023","2023-05-20T12:15:00.000Z","2023-05-20T19:45:00.000Z","07:30:00",""
"entry","","","34caada7-fac9-4100-a75d-962e57f767e1","May 22, 2023","2023-05-22T12:15:00.000Z","2023-05-22T20:15:00.000Z","08:00:00",""
"entry","","","09f66b72-fa6c-4053-a9da-c5cd216f9510","May 23, 2023","2023-05-23T13:30:00.000Z","2023-05-23T21:05:00.000Z","07:35:00",""
"entry","","","222229fd-df04-4032-b2ef-8f421dc8619b","May 24, 2023","2023-05-24T12:00:00.000Z","2023-05-24T19:40:00.000Z","07:40:00",""
"entry","","","06b0772e-9f1d-4b3a-be8c-df846a393fd8","May 26, 2023","2023-05-26T12:00:00.000Z","2023-05-26T20:10:00.000Z","08:10:00",""
"entry","","","b02f578f-5404-462a-9493-0bbe68cb2db7","May 27, 2023","2023-05-27T12:15:00.000Z","2023-05-27T20:15:00.000Z","08:00:00","Training new CCA"
"entry","","","17c1cd69-a56e-4eef-918b-bcd4a101f3af","May 30, 2023","2023-05-30T12:30:00.000Z","2023-05-30T20:00:00.000Z","07:30:00",""
"entry","","","dc254909-0934-4003-ad04-3c237574043f","May 31, 2023","2023-05-31T12:15:00.000Z","2023-05-31T20:30:00.000Z","08:15:00",""
"entry","","","53c0a2cd-a014-492b-bffa-6de0273d289a","Jun 1, 2023","2023-06-01T13:30:00.000Z","2023-06-01T22:40:00.000Z","09:10:00",""
"entry","","","0d3bf22c-0fd1-405c-8b97-7918a8e99f65","Jun 2, 2023","2023-06-02T12:00:00.000Z","2023-06-02T20:45:00.000Z","08:45:00",""
"entry","","","8f00fd11-0ded-4e75-8365-649c2e4e7532","Jun 3, 2023","2023-06-03T12:30:00.000Z","2023-06-03T20:10:00.000Z","07:40:00",""
"entry","","","0d6a0c4f-e16b-4f72-b34c-1478ea2264d3","Jun 5, 2023","2023-06-05T12:30:00.000Z","2023-06-05T20:05:00.000Z","07:35:00",""
"entry","","","5af812b5-642d-4f8e-89bf-d1b1bcd3fc2c","Jun 6, 2023","2023-06-06T12:15:00.000Z","2023-06-06T20:10:00.000Z","07:55:00",""
"entry","","","984c6fd4-36ef-4bcb-b6f8-9a32f12581b2","Jun 7, 2023","2023-06-07T12:30:00.000Z","2023-06-07T21:45:00.000Z","09:15:00",""
"entry","","","17c9ea9f-0574-4b4d-8fb0-b3846714eb9f","Jun 8, 2023","2023-06-08T12:00:00.000Z","2023-06-08T19:50:00.000Z","07:50:00",""
"entry","","","539712f1-905e-4765-8c06-e69ee68c51ba","Jun 9, 2023","2023-06-09T12:30:00.000Z","2023-06-09T20:25:00.000Z","07:55:00",""
"entry","","","6f6873c0-8e6f-489a-8724-92119aa99211","Jun 10, 2023","2023-06-10T12:00:00.000Z","2023-06-10T20:00:00.000Z","08:00:00",""
"entry","","","4b607ff7-f94a-416c-bac6-37030460484b","Jun 12, 2023","2023-06-12T13:30:00.000Z","2023-06-12T21:40:00.000Z","08:10:00",""
"entry","","","52547aa1-9eb4-452c-a977-140c9f871e13","Jun 13, 2023","2023-06-13T11:15:00.000Z","2023-06-13T19:05:00.000Z","07:50:00",""
"entry","","","2537faf5-af53-45f4-b812-6ad1d3d810a8","Jun 14, 2023","2023-06-14T12:00:00.000Z","2023-06-14T20:10:00.000Z","08:10:00",""
"entry","","","554df2a8-2774-410e-a674-501c5661d4f1","Jun 15, 2023","2023-06-15T12:00:00.000Z","2023-06-15T20:05:00.000Z","08:05:00",""
"entry","","","6efdba3a-a229-46b8-9773-c0429a19f4f0","Jun 16, 2023","2023-06-16T12:00:00.000Z","2023-06-16T20:55:00.000Z","08:55:00",""
"entry","","","1c342dc0-cad0-4f60-b287-7bd9fa83e54a","Jun 17, 2023","2023-06-17T12:00:00.000Z","2023-06-17T20:30:00.000Z","08:30:00",""
"entry","","","960258c9-12a7-4545-b544-d20da1fc42ec","Jun 20, 2023","2023-06-20T12:00:00.000Z","2023-06-20T20:25:00.000Z","08:25:00",""
"entry","","","51e20fcb-6ec9-49c8-b87f-a8a881c17b27","Jun 21, 2023","2023-06-21T12:00:00.000Z","2023-06-21T21:20:00.000Z","09:20:00","Double route"
"entry","","","ebf62102-e0a2-4727-8e6c-ce1da84178a1","Jun 22, 2023","2023-06-22T13:15:00.000Z","2023-06-22T21:15:00.000Z","08:00:00",""
"entry","","","c08dbe19-9bc9-4b7b-95f0-c7c8f4d99d3b","Jun 23, 2023","2023-06-23T12:00:00.000Z","2023-06-23T20:35:00.000Z","08:35:00",""
"entry","","","696399d2-266e-4595-8fbd-a782c426644b","Jun 24, 2023","2023-06-24T12:30:00.000Z","2023-06-24T21:05:00.000Z","08:35:00",""
"entry","","","4cbf9603-f385-4fc9-9d51-8481840893eb","Jun 26, 2023","2023-06-26T12:15:00.000Z","2023-06-26T20:35:00.000Z","08:20:00",""
"entry","","","a660ae4e-92ce-4c23-8ee4-33c7e3d55d6d","Jun 27, 2023","2023-06-27T13:30:00.000Z","2023-06-27T21:10:00.000Z","07:40:00",""
"entry","","","ebbab43e-e309-4417-a3b0-40715afef61d","Jun 28, 2023","2023-06-28T12:30:00.000Z","2023-06-28T21:15:00.000Z","08:45:00",""
"entry","","","4f6c77c0-90a7-465f-ba01-690634ea6253","Jun 29, 2023","2023-06-29T12:00:00.000Z","2023-06-29T20:20:00.000Z","08:20:00",""
"entry","","","2e5969f3-2286-40c0-a437-f717e93b32c3","Jun 30, 2023","2023-06-30T12:30:00.000Z","2023-06-30T21:05:00.000Z","08:35:00",""
"entry","","","320d06f1-ba57-497e-b705-3463251c4c7c","Jul 1, 2023","2023-07-01T12:00:00.000Z","2023-07-01T20:35:00.000Z","08:35:00",""
"entry","","","82fa4b50-dcfe-4b8f-aac0-759e3bdb6f22","Jul 3, 2023","2023-07-03T11:00:00.000Z","2023-07-03T19:00:00.000Z","08:00:00",""
"entry","","","28950c19-c884-4b2b-969c-d9a36c221b45","Jul 5, 2023","2023-07-05T12:30:00.000Z","2023-07-05T21:10:00.000Z","08:40:00","Double route"
"entry","","","ec433e3d-5223-46d3-8058-6fa89dd8ec57","Jul 6, 2023","2023-07-06T12:00:00.000Z","2023-07-06T20:35:00.000Z","08:35:00",""
"entry","","","2824bbca-68a3-45ea-93e8-8adc5042cda4","Jul 7, 2023","2023-07-07T13:30:00.000Z","2023-07-07T21:30:00.000Z","08:00:00",""
"entry","","","e8dcb98b-ecaf-48aa-b6ea-7a9bb0377fb3","Jul 8, 2023","2023-07-08T12:00:00.000Z","2023-07-08T20:05:00.000Z","08:05:00",""
